,Sequence of all items,Main Chapter heading,Chapter rank,Web chapter heading,Sequence of secondary chapters,Secondary chapter heading (too long to use),Simplified secondary chapter heading,Web subchapter heading,Species name,Species file name,Explore numbers in this file,Numbered sounds in file,Book page,Photo #1,Caption for Photo #1,Photo #2,Caption for Photo #2,Photo #3,Caption for photo #3,sound 1,sound 2 ,sound 3,sound 4,sound 5,sound 6,sound 7,sound 8,sound 9,sound 10,sound 11,sound 12,sound 13,sound 14,sound 15,sound 16,Unnamed: 35,Chapter rank.1,Chapter name, Subchapter rank, Subchapter heading,spedies_index,qr_url,group_name,family_name,species_index
0,1,2. Birds and Their Sounds,2,2. Birds and Their Sounds,22,Birds sing and call,Birds sing and call,Birds sing and call,Black-capped chickadee,2.2_BcCh,1,1-5,8,BcCh-BS-1-Black-capped Chickadee_B9H4324,Photo by Brian E. Small,,,,,1,2.0,3.0,4.0,5.0,,,,,,,,,,,,,1.0,2. Birds and Their Sounds,1.0,Birds sing and call,1,http://BirdsongForTheCurious.com/SpeciesFile.php?page=1,"Chickadees, titmice",Paridae,1
1,2,2. Birds and Their Sounds,2,2. Birds and Their Sounds,22,Birds sing and call,Birds sing and call,Birds sing and call,White-breasted nuthatch,2.2_WbNu,2,6-11,9,WbNu-WH-White-breasted_nuthatch_WH_C2FS8443-1_superB,Photo by Wil Hershberger,,,,,6,7.0,8.0,9.0,10.0,11.0,,,,,,,,,,,,2.0,3. Why and How Birds Sing,2.0,Birds without a song just call,2,http://BirdsongForTheCurious.com/SpeciesFile.php?page=2,"Bushtit, nuthatch",Sittidae,2
2,3,2. Birds and Their Sounds,2,2. Birds and Their Sounds,22,Birds sing and call,Birds sing and call,Birds sing and call,Veery,2.2_Veery,,12-13,10,Veery-BS-Veery_D4_66412 ,Photo by Brian E. Small,,,,,12,13.0,,,,,,,,,,,,,,,,3.0,4. How a Bird Gets Its Song,3.0,Female song and duets,3,http://BirdsongForTheCurious.com/SpeciesFile.php?page=3,Thrushes,Turdidae,3
3,4,2. Birds and Their Sounds,2,2. Birds and Their Sounds,22,Birds sing and call,Birds sing and call,Birds sing and call,American robin,2.2_AmRo,3,14-21,10,AmRo-WH-American_robin_WH_WIL4597,Photo by Wil Hershberger,,,,,14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,,,,,,,,,,4.0,5. More about Song Learning,4.0,Mechanical (non-vocal) sounds,4,http://BirdsongForTheCurious.com/SpeciesFile.php?page=4,Thrushes,Turdidae,4
4,5,2. Birds and Their Sounds,2,2. Birds and Their Sounds,22,Birds sing and call,Birds sing and call,Birds sing and call,Gray catbird,2.2_GrCa,,22-23,11,GrCa-MR-GrayCatbirdSIng_7578_Read,Photo by Marie Read,,,,,22,23.0,,,,,,,,,,,,,,,,5.0,6. Song Learning Often Creates Complex Songs and Large Repertoires,5.0,Why sing?,5,http://BirdsongForTheCurious.com/SpeciesFile.php?page=5,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,5
5,6,2. Birds and Their Sounds,2,2. Birds and Their Sounds,22,Birds sing and call,Birds sing and call,Birds sing and call,Common yellowthroat,2.2_CoYe,,24-26,11,CoYe-MR-CommYellowthroatMSing_3755_Read,Photo by Marie Read,,,,,24,25.0,26.0,,,,,,,,,,,,,,,6.0,"7. When to Sing, and How ",6.0,Courtship songs,6,http://BirdsongForTheCurious.com/SpeciesFile.php?page=6,Warblers,Parulidae,6
6,7,2. Birds and Their Sounds,2,2. Birds and Their Sounds,23,Birds without a song just call,Birds without a song just call,Birds without a song just call,Canada goose,2.3_CaGo,,27-29,12,CaGo-MR-CAGOAggression_8680_Read,Photo by Marie Read,,,,,27,28.0,29.0,,,,,,,,,,,,,,,7.0,8. How Songs Change over Space and Time,7.0,Singing in the brain,7,http://BirdsongForTheCurious.com/SpeciesFile.php?page=7,"Ducks, geese",Anatidae,7
7,8,2. Birds and Their Sounds,2,2. Birds and Their Sounds,23,Birds without a song just call,Birds without a song just call,Birds without a song just call,Mallard,2.3_Mall,4,30-31,12,Mall-MR-MallardPair_0341_Read,Photo by Marie Read,,,,,30,31.0,,,,,,,,,,,,,,,,8.0,9. Music to Our Ears,8.0,"Not one, but two voice boxes",8,http://BirdsongForTheCurious.com/SpeciesFile.php?page=8,"Ducks, geese",Anatidae,8
8,9,2. Birds and Their Sounds,2,2. Birds and Their Sounds,23,Birds without a song just call,Birds without a song just call,Birds without a song just call,Chimney swift,2.3_ChSw,5,32,13,ChSw-BS-Chimney Swift_T0B60762,Photo by Brian E. Small,,,,,32,,,,,,,,,,,,,,,,,9.0,10. More birds! More Sounds!--Americas,9.0,What birds hear,9,http://BirdsongForTheCurious.com/SpeciesFile.php?page=9,,,9
9,10,2. Birds and Their Sounds,2,2. Birds and Their Sounds,23,Birds without a song just call,Birds without a song just call,Birds without a song just call,Killdeer,2.3_Kill,,33-34,13,Killdeer-WH-WIL4452,Photo by Wil Hershberger,,,,,33,34.0,,,,,,,,,,,,,,,,10.0,10. More birds! More Sounds!--Australia,10.0,Inborn songs,10,http://BirdsongForTheCurious.com/SpeciesFile.php?page=10,"Shorebirds, gulls",Charadriidae,10
